RedFighter,BlueFighter,Winner
Song Kenan,Kevin Jousset,Blue
HyunSung Park,Shannon Ross,Red
Steve Garcia,Melquizael Costa,Red
Luana Santos,Stephanie Egger,Red
Tatsuro Taira,Carlos Hernandez,Red
Rayanne dos Santos,Talita Alencar,Blue
Song Yadong,Chris Gutierrez,Red
Anthony Smith,Khalil Rountree Jr.,Blue
Nasrat Haqparast,Jamie Mullarkey,Red
Tim Elliott,Sumudaerji,Red
JunYong Park,Andre Muniz,Blue
Song Kenan,Kevin Jousset,Blue
HyunSung Park,Shannon Ross,Red
Steve Garcia,Melquizael Costa,Red
Luana Santos,Stephanie Egger,Red
Tatsuro Taira,Carlos Hernandez,Red
Rayanne dos Santos,Talita Alencar,Blue
Song Yadong,Chris Gutierrez,Red
Anthony Smith,Khalil Rountree Jr.,Blue
Nasrat Haqparast,Jamie Mullarkey,Red
Tim Elliott,Sumudaerji,Red
JunYong Park,Andre Muniz,Blue
Song Kenan,Kevin Jousset,Blue
HyunSung Park,Shannon Ross,Red
Steve Garcia,Melquizael Costa,Red
Luana Santos,Stephanie Egger,Red
Tatsuro Taira,Carlos Hernandez,Red
Rayanne dos Santos,Talita Alencar,Blue
Song Yadong,Chris Gutierrez,Red
Anthony Smith,Khalil Rountree Jr.,Blue
Nasrat Haqparast,Jamie Mullarkey,Red
Tim Elliott,Sumudaerji,Red
JunYong Park,Andre Muniz,Blue
Song Kenan,Kevin Jousset,Blue
HyunSung Park,Shannon Ross,Red
Steve Garcia,Melquizael Costa,Red
Luana Santos,Stephanie Egger,Red
Tatsuro Taira,Carlos Hernandez,Red
Rayanne dos Santos,Talita Alencar,Blue
Song Yadong,Chris Gutierrez,Red
Anthony Smith,Khalil Rountree Jr.,Blue
Nasrat Haqparast,Jamie Mullarkey,Red
Tim Elliott,Sumudaerji,Red
JunYong Park,Andre Muniz,Blue
Song Kenan,Kevin Jousset,Blue
HyunSung Park,Shannon Ross,Red
Steve Garcia,Melquizael Costa,Red
Luana Santos,Stephanie Egger,Red
Tatsuro Taira,Carlos Hernandez,Red
Rayanne dos Santos,Talita Alencar,Blue
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Beneil Dariush,Arman Tsarukyan,Blue
Jalin Turner,King Green,Red
Rob Font,Deiveson Figueiredo,Blue
Sean Brady,Kelvin Gastelum,Red
Clay Guida,Joaquim Silva,Blue
Punahele Soriano,Dustin Stoltzfus,Blue
Miesha Tate,Julia Avila,Red
Zachary Reese,Cody Brundage,Blue
Drakkar Klose,Joe Solecki,Red
Rodolfo Bellato,Ihor Potieria,Red
Wellington Turman,Jared Gooden,Blue
Veronica Hardy,Jamey-Lyn Horth,Red
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Brendan Allen,Paul Craig,Red
Michael Morales,Jake Matthews,Red
Chase Hooper,Jordan Leavitt,Red
Payton Talbott,Nick Aguirre,Red
Luana Pinheiro,Amanda Ribas,Blue
Uros Medic,Myktybek Orolbai,Blue
Jonathan Pearce,Joanderson Brito,Blue
Chad Anheliger,Jose Johnson,Blue
Christian Leroy Duncan,Denis Tiuliulin,Red
Mick Parkin,Caio Machado,Red
Jeka Saragih,Lucas Alexander,Red
Lucie Pudilova,Ailin Perez,Blue
Charles Johnson,Rafael Estevam,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jiri Prochazka,Alex Pereira,Blue
Sergei Pavlovich,Tom Aspinall,Blue
Jessica Andrade,Mackenzie Dern,Red
Matt Frevola,Benoit Saint Denis,Blue
Diego Lopes,Pat Sabatini,Red
Steve Erceg,Alessandro Costa,Red
Tabatha Ricci,Loopy Godinez,Blue
Mateusz Rebecki,Roosevelt Roberts,Red
Jared Gordon,Mark Madsen,Red
John Castaneda,Kyung Ho Kang,Red
Joshua Van,Kevin Borjas,Red
Dennis Buzukja,Jamall Emmers,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Jailton Almeida,Derrick Lewis,Red
Gabriel Bonfim,Nicolas Dalby,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Caio Borralho,Abus Magomedov,Red
Elves Brener,Kaynan Kruschewsky,Red
Vitor Petrino,Modestas Bukauskas,Red
Angela Hill,Denise Gomes,Red
Eduarda Moura,Montserrat Conejo Ruiz,Red
Kaue Fernandes,Marc Diakiese,Blue
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Islam Makhachev,Alexander Volkanovski,Red
Kamaru Usman,Khamzat Chimaev,Blue
Ikram Aliskerov,Warlley Alves,Red
Said Nurmagomedov,Muin Gafurov,Red
Tim Elliott,Muhammad Mokaev,Blue
Mohammad Yahya,Trevor Peek,Blue
Abu Azaitar,Sedriques Dumas,Blue
Mike Breeden,Anshul Jubli,Red
Nathaniel Wood,Muhammad Naimov,Blue
Viktoriia Dudakova,Jinh Yu Frey,Red
Shara Magomedov,Bruno Silva,Red
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Sodiq Yusuff,Edson Barboza,Blue
Jennifer Maia,Viviane Araujo,Blue
Jonathan Martinez,Adrian Yanez,Red
Andre Petroski,Michel Pereira,Blue
Christian Rodriguez,Cameron Saaiman,Red
Darren Elkins,TJ Brown,Red
Tainara Lisboa,Ravena Oliveira,Red
Terrance McKinney,Brendon Marotte,Red
Irina Alekseeva,Melissa Mullins,Blue
Chris Gutierrez,Alatengheili,Red
Ashley Yoder,Emily Ducote,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Grant Dawson,King Green,Blue
Joe Pyfer,Abdul Razak Alhassan,Red
Alex Morono,Joaquin Buckley,Blue
Drew Dober,Ricky Glenn,Red
Alexander Hernandez,Bill Algeo,Blue
Karolina Kowalkiewicz,Diana Belbita,Red
Nate Maness,Mateus Mendonca,Red
Vanessa Demopoulos,Kanako Murata,Red
Aoriqileng,Johnny Munoz,Red
Montana De La Rosa,JJ Aldrich,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
Rafael Fiziev,Mateusz Gamrot,Blue
Bryce Mitchell,Dan Ige,Red
Marina Rodriguez,Michelle Waterson-Gomez,Red
Bryan Battle,AJ Fletcher,Red
Ricardo Ramos,Charles Jourdain,Blue
Tim Means,Andre Fialho,Red
Jacob Malkoun,Cody Brundage,Blue
Mohammed Usman,Jake Collier,Red
Mizuki,Hannah Goldy,Red
Tamires Vidal,Montserrat Rendon,Blue
