RedFighter,BlueFighter,Winner
Mauricio Ruffy,Jamie Mullarkey,Red
Dione Barbosa,Ernesta Kareckaite,Red
Ismael Bonfim,Vinc Pichel,Red
Alessandro Costa,Kevin Borjas,Red
Alexandre Pantoja,Steve Erceg,Red
Jose Aldo,Jonathan Martinez,Red
Anthony Smith,Vitor Petrino,Red
Michel Pereira,Ihor Potieria,Red
Paul Craig,Caio Borralho,Blue
Jack Shore,Joanderson Brito,Blue
Karolina Kowalkiewicz,Iasmin Lucindo,Blue
Elves Brener,Myktybek Orolbai,Blue
Joaquim Silva,Drakkar Klose,Blue
Mauricio Ruffy,Jamie Mullarkey,Red
Dione Barbosa,Ernesta Kareckaite,Red
Ismael Bonfim,Vinc Pichel,Red
Alessandro Costa,Kevin Borjas,Red
Alexandre Pantoja,Steve Erceg,Red
Jose Aldo,Jonathan Martinez,Red
Anthony Smith,Vitor Petrino,Red
Michel Pereira,Ihor Potieria,Red
Paul Craig,Caio Borralho,Blue
Jack Shore,Joanderson Brito,Blue
Karolina Kowalkiewicz,Iasmin Lucindo,Blue
Elves Brener,Myktybek Orolbai,Blue
Joaquim Silva,Drakkar Klose,Blue
Mauricio Ruffy,Jamie Mullarkey,Red
Dione Barbosa,Ernesta Kareckaite,Red
Ismael Bonfim,Vinc Pichel,Red
Alessandro Costa,Kevin Borjas,Red
Alexandre Pantoja,Steve Erceg,Red
Jose Aldo,Jonathan Martinez,Red
Anthony Smith,Vitor Petrino,Red
Michel Pereira,Ihor Potieria,Red
Paul Craig,Caio Borralho,Blue
Jack Shore,Joanderson Brito,Blue
Karolina Kowalkiewicz,Iasmin Lucindo,Blue
Elves Brener,Myktybek Orolbai,Blue
Joaquim Silva,Drakkar Klose,Blue
Mauricio Ruffy,Jamie Mullarkey,Red
Dione Barbosa,Ernesta Kareckaite,Red
Ismael Bonfim,Vinc Pichel,Red
Alessandro Costa,Kevin Borjas,Red
Matheus Nicolau,Alex Perez,Blue
